TPR 	 5 	 10 
TGT 	 5 	 30 
TEL 	 15 	 25 
FTI 	 15 	 25 
TDY 	 5 	 10 
TFX 	 5 	 15 
TXN 	 10 	 15 
TXT 	 5 	 25 
TMO 	 30 	 40 
TIF 	 10 	 20 
TJX 	 5 	 10 
TSCO 	 10 	 25 
TT 	 40 	 50 
TDG 	 20 	 40 
TRV 	 55 	 65 
TFC 	 40 	 45 
TWTR 	 25 	 35 
TYL 	 10 	 15 
TSN 	 25 	 35 
UDR 	 5 	 45 
ULTA 	 0 	 0 
USB 	 5 	 40 
UAA 	 40 	 45 
UA 	 40 	 45 
UNP 	 40 	 45 
UAL 	 15 	 25 
UNH 	 5 	 25 
UPS 	 10 	 20 
URI 	 5 	 10 
UHS 	 40 	 45 
UNM 	 5 	 35 
VFC 	 5 	 10 
VLO 	 5 	 20 
VAR 	 15 	 30 
VTR 	 30 	 35 
VRSN 	 10 	 15 
VRSK 	 5 	 10 
VZ 	 25 	 30 
VRTX 	 10 	 20 
VIAC 	 0 	 0 
V 	 5 	 10 
VNO 	 25 	 85 
VMC 	 5 	 20 
WRB 	 40 	 85 
WAB 	 25 	 30 
WMT 	 25 	 50 
WBA 	 55 	 80 
DIS 	 10 	 15 
WM 	 10 	 20 
WAT 	 25 	 30 
WEC 	 25 	 30 
WFC 	 40 	 45 
WELL 	 30 	 35 
WST 	 20 	 30 
WDC 	 5 	 20 
WU 	 5 	 20 
WRK 	 20 	 25 
WY 	 20 	 70 
WHR 	 35 	 45 
WMB 	 35 	 40 
WLTW 	 55 	 60 
WYNN 	 5 	 10 
XEL 	 25 	 35 
XRX 	 5 	 20 
XLNX 	 40 	 60 
XYL 	 5 	 10 
YUM 	 45 	 70 
ZBRA 	 5 	 10 
ZBH 	 20 	 60 
ZION 	 30 	 50 
ZTS 	 5 	 30 
